,election_year,election_round,place_(zz_=_exterior),municipality_code,unnamed:_4,municipality_name,office,party_number,party_initials,party_name,number_of_votes
0,2010,1,ZZ,98582,29254,COSTA DO MARFIM,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,4
1,2010,1,ZZ,98582,29254,COSTA DO MARFIM,Presidente,13,PT,PARTIDO DOS TRABALHADORES,29
2,2010,1,ZZ,98582,29254,COSTA DO MARFIM,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,1
3,2010,1,ZZ,98582,29254,COSTA DO MARFIM,Presidente,43,PV,PARTIDO VERDE,3
4,2010,1,ZZ,98728,29262,EMIRADOS ARABES,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,19
5,2010,1,ZZ,98728,29262,EMIRADOS ARABES,Presidente,13,PT,PARTIDO DOS TRABALHADORES,13
6,2010,1,ZZ,98728,29262,EMIRADOS ARABES,Presidente,43,PV,PARTIDO VERDE,4
7,2010,1,ZZ,29181,29289,JORDANIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,31
8,2010,1,ZZ,29181,29289,JORDANIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,92
9,2010,1,ZZ,29181,29289,JORDANIA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,3
10,2010,1,ZZ,29181,29289,JORDANIA,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,2
11,2010,1,ZZ,29181,29289,JORDANIA,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1
12,2010,1,ZZ,29181,29289,JORDANIA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
13,2010,1,ZZ,29181,29289,JORDANIA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,13
14,2010,1,ZZ,29181,29289,JORDANIA,Presidente,43,PV,PARTIDO VERDE,10
15,2010,1,ZZ,98108,29297,TURQUIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,10
16,2010,1,ZZ,98108,29297,TURQUIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,3
17,2010,1,ZZ,98701,29300,ARGELIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,6
18,2010,1,ZZ,98701,29300,ARGELIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,10
19,2010,1,ZZ,98701,29300,ARGELIA,Presidente,43,PV,PARTIDO VERDE,3
20,2010,1,ZZ,11444,29327,PARAGUAI,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,322
21,2010,1,ZZ,11444,29327,PARAGUAI,Presidente,13,PT,PARTIDO DOS TRABALHADORES,262
22,2010,1,ZZ,11444,29327,PARAGUAI,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,2
23,2010,1,ZZ,11444,29327,PARAGUAI,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,6
24,2010,1,ZZ,11444,29327,PARAGUAI,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,8
25,2010,1,ZZ,11444,29327,PARAGUAI,Presidente,43,PV,PARTIDO VERDE,82
26,2010,1,ZZ,11827,29335,GRECIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,69
27,2010,1,ZZ,11827,29335,GRECIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,112
28,2010,1,ZZ,11827,29335,GRECIA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,1
29,2010,1,ZZ,11827,29335,GRECIA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,6
30,2010,1,ZZ,11827,29335,GRECIA,Presidente,43,PV,PARTIDO VERDE,20
31,2010,1,ZZ,11266,39080,ESTADOS UNIDOS,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,379
32,2010,1,ZZ,11266,39080,ESTADOS UNIDOS,Presidente,13,PT,PARTIDO DOS TRABALHADORES,146
33,2010,1,ZZ,11266,39080,ESTADOS UNIDOS,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1
34,2010,1,ZZ,11266,39080,ESTADOS UNIDOS,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,5
35,2010,1,ZZ,11266,39080,ESTADOS UNIDOS,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,5
36,2010,1,ZZ,11266,39080,ESTADOS UNIDOS,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,3
37,2010,1,ZZ,11266,39080,ESTADOS UNIDOS,Presidente,43,PV,PARTIDO VERDE,161
38,2010,1,ZZ,98205,29343,TAILANDIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,22
39,2010,1,ZZ,98205,29343,TAILANDIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,8
40,2010,1,ZZ,98205,29343,TAILANDIA,Presidente,43,PV,PARTIDO VERDE,9
41,2010,1,ZZ,11240,29351,ESPANHA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,202
42,2010,1,ZZ,11240,29351,ESPANHA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,283
43,2010,1,ZZ,11240,29351,ESPANHA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,7
44,2010,1,ZZ,11240,29351,ESPANHA,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1
45,2010,1,ZZ,11240,29351,ESPANHA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
46,2010,1,ZZ,11240,29351,ESPANHA,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,7
47,2010,1,ZZ,11240,29351,ESPANHA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,4
48,2010,1,ZZ,11240,29351,ESPANHA,Presidente,43,PV,PARTIDO VERDE,157
49,2010,1,ZZ,11401,29360,LIBANO,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,171
50,2010,1,ZZ,11401,29360,LIBANO,Presidente,13,PT,PARTIDO DOS TRABALHADORES,368
51,2010,1,ZZ,11401,29360,LIBANO,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,10
52,2010,1,ZZ,11401,29360,LIBANO,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,1
53,2010,1,ZZ,11401,29360,LIBANO,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,4
54,2010,1,ZZ,11401,29360,LIBANO,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,5
55,2010,1,ZZ,11401,29360,LIBANO,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,5
56,2010,1,ZZ,11401,29360,LIBANO,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,10
57,2010,1,ZZ,11401,29360,LIBANO,Presidente,43,PV,PARTIDO VERDE,47
