,election_year,election_round,place_(zz_=_exterior),municipality_code,municipality_name,office,party_initials,party_number,party_name,number_of_votes
0,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,24
1,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,9
2,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,59
3,2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,83
4,2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,35
5,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,33
6,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
7,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
8,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,13
9,2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24
10,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,9
11,2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,11
12,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
13,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,46
14,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,149
15,2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,139
16,2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,256
17,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,290
18,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERARIA,3
19,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,16
20,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,41
21,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,145
22,2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,161
23,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,283
24,2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,276
25,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
26,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERARIA,2
27,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,11
28,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,22
29,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,110
30,2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,95
31,2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,245
32,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,274
33,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,3
34,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERARIA,1
35,2002,1,ZZ,98965,ANGOLA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,4
36,2002,1,ZZ,98965,ANGOLA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,9
37,2002,2,ZZ,98965,ANGOLA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,25
38,2002,1,ZZ,98965,ANGOLA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,19
39,2002,1,ZZ,98965,ANGOLA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,44
40,2002,2,ZZ,98965,ANGOLA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,46
41,2002,1,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,1
42,2002,1,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,8
43,2002,2,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,9
44,2002,1,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,13
45,2002,2,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,13
46,2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
47,2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,40
48,2002,2,ZZ,11142,ARGENTINA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,193
49,2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,164
50,2002,2,ZZ,11142,ARGENTINA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,318
51,2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,289
52,2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
53,2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERARIA,2
54,2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,2
55,2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,13
56,2002,2,ZZ,11142,ARGENTINA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,13
57,2002,2,ZZ,11142,ARGENTINA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,19
58,2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,19
59,2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,2
60,2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,5
61,2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,9
62,2002,2,ZZ,98981,AUSTRALIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,12
63,2002,2,ZZ,98981,AUSTRALIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,39
64,2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,30
65,2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,9
66,2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,12
67,2002,2,ZZ,98981,AUSTRALIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,46
68,2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,30
69,2002,2,ZZ,98981,AUSTRALIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,115
70,2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,96
71,2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
72,2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,20
73,2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,21
74,2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,61
75,2002,2,ZZ,98949,AUSTRIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,76
76,2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,154
77,2002,2,ZZ,98949,AUSTRIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,164
78,2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERARIA,1
79,2002,1,ZZ,98922,BELGICA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,55
80,2002,1,ZZ,98922,BELGICA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,30
81,2002,2,ZZ,98922,BELGICA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,153
82,2002,1,ZZ,98922,BELGICA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,113
83,2002,2,ZZ,98922,BELGICA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,300
84,2002,1,ZZ,98922,BELGICA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,305
85,2002,1,ZZ,98922,BELGICA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,6
86,2002,1,ZZ,98922,BELGICA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERARIA,1
87,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,26
88,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,53
89,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,114
90,2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,154
91,2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,129
92,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,99
93,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
94,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,38
95,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,56
96,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,61
97,2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,115
98,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,108
99,2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,149
100,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
101,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
102,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,37
103,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,68
104,2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,85
105,2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,134
106,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,118
107,2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
108,2002,1,ZZ,98604,CABO VERDE,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,13
109,2002,1,ZZ,98604,CABO VERDE,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,1
110,2002,2,ZZ,98604,CABO VERDE,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,9
111,2002,1,ZZ,98604,CABO VERDE,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,5
112,2002,2,ZZ,98604,CABO VERDE,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,23
113,2002,1,ZZ,98604,CABO VERDE,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,12
114,2002,1,ZZ,98906,CANADA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,13
115,2002,1,ZZ,98906,CANADA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,35
116,2002,2,ZZ,98906,CANADA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,181
