,election_year,election_round,place_(zz_=_exterior),municipality_code,municipality_name,office,party_initials,party_number,party_name,number_of_votes
1,1998,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDC,27,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
2,1998,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT do B,70,PARTIDO TRABALHISTA DO BRASIL,3
3,1998,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,10
4,1998,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,54
5,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PTN,19,PARTIDO TRABALHISTA NACIONAL,1
6,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PRONA,56,PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL,1
7,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,4
8,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,32
9,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,56
10,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
11,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PTN,19,PARTIDO TRABALHISTA NACIONAL,2
12,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PMN,33,PARTIDO DA MOBILIZACAO NACIONAL,3
13,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PV,43,PARTIDO VERDE,3
14,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PRONA,56,PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL,5
15,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT do B,70,PARTIDO TRABALHISTA DO BRASIL,3
16,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,35
17,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,123
18,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,248
19,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PTN,19,PARTIDO TRABALHISTA NACIONAL,1
20,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSN,31,PARTIDO DA SOLIDARIEDADE NACIONAL,2
21,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PMN,33,PARTIDO DA MOBILIZACAO NACIONAL,1
22,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PV,43,PARTIDO VERDE,1
23,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PRONA,56,PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL,4
24,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT do B,70,PARTIDO TRABALHISTA DO BRASIL,4
25,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,18
26,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,86
27,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,228
28,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,2
29,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDC,27,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
30,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PV,43,PARTIDO VERDE,1
31,1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PRONA,56,PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL,4
