Election Year,Election Round,Place (ZZ = Exterior),Municipality Code,Municipality Name,Office,Party Initials,Party Number,Party Name,Number of Votes
ANO_ELEICAO,NUM_TURNO (*),SIGLA_UF,CODIGO_MUNICIPIO (*),NOME_MUNICIPIO,DESCRICAO_CARGO,SIGLA_PARTIDO,NUMERO_PARTIDO (*),NOME_PARTIDO,QTDE_VOTOS_NOMINAIS
2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,24
2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,9
2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,59
2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,83
2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,35
2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,33
2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,13
2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24
2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,9
2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,11
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,46
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,149
2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,139
2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,256
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,290
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERÁRIA,3
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,16
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,41
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,145
2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,161
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,283
2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,276
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERÁRIA,2
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,11
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,22
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,110
2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,95
2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,245
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,274
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,3
2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERÁRIA,1
2002,1,ZZ,98965,ANGOLA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,4
2002,1,ZZ,98965,ANGOLA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,9
2002,2,ZZ,98965,ANGOLA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,25
2002,1,ZZ,98965,ANGOLA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,19
2002,1,ZZ,98965,ANGOLA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,44
2002,2,ZZ,98965,ANGOLA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,46
2002,1,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,1
2002,1,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,8
2002,2,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,9
2002,1,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,13
2002,2,ZZ,11126,ARABIA SAUDITA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,13
2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,40
2002,2,ZZ,11142,ARGENTINA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,193
2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,164
2002,2,ZZ,11142,ARGENTINA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,318
2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,289
2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERÁRIA,2
2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,2
2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,13
2002,2,ZZ,11142,ARGENTINA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,13
2002,2,ZZ,11142,ARGENTINA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,19
2002,1,ZZ,11142,ARGENTINA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,19
2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,2
2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,5
2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,9
2002,2,ZZ,98981,AUSTRALIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,12
2002,2,ZZ,98981,AUSTRALIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,39
2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,30
2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,9
2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,12
2002,2,ZZ,98981,AUSTRALIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,46
2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,30
2002,2,ZZ,98981,AUSTRALIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,115
2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,96
2002,1,ZZ,98981,AUSTRALIA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,20
2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,21
2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,61
2002,2,ZZ,98949,AUSTRIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,76
2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,154
2002,2,ZZ,98949,AUSTRIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,164
2002,1,ZZ,98949,AUSTRIA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERÁRIA,1
2002,1,ZZ,98922,BELGICA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,55
2002,1,ZZ,98922,BELGICA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,30
2002,2,ZZ,98922,BELGICA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,153
2002,1,ZZ,98922,BELGICA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,113
2002,2,ZZ,98922,BELGICA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,300
2002,1,ZZ,98922,BELGICA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,305
2002,1,ZZ,98922,BELGICA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,6
2002,1,ZZ,98922,BELGICA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERÁRIA,1
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,26
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,53
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,114
2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,154
2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,129
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,99
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,38
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,56
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,61
2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,115
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,108
2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,149
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,37
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,68
2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,85
2002,2,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,134
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,118
2002,1,ZZ,11800,BOLIVIA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
2002,1,ZZ,98604,CABO VERDE,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,13
