,election_year,election_round,place_(zz_=_exterior),municipality_code,municipality_name,office,party_initials,party_number,party_name,number_of_votes
1,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,24
2,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,9
3,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,59
4,2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,83
5,2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,35
6,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,33
7,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
8,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
9,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,13
10,2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24
11,2002,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,9
12,2002,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,11
13,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,15
14,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,46
15,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,149
16,2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,139
17,2002,2,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,256
18,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,290
19,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PCO,29,PARTIDO DA CAUSA OPERARIA,3
20,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSB,40,PARTIDO SOCIALISTA BRASILEIRO,16
21,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,41
22,2002,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,145
