Election Year,Election Round,Place (ZZ = Exterior),Municipality Code,Municipality Name,Office,Party Initials,Party Number,Party Name,Number of Votes
ANO_ELEICAO,NUM_TURNO (*),SIGLA_UF,SIGLA_UF (*),NOME_MUNICIPIO,DESCRICAO_CARGO,SIGLA_PARTIDO,NUMERO_PARTIDO (*),NOME_PARTIDO,QTDE_VOTOS_NOMINAIS
1998,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDC,27,PARTIDO SOCIAL DEMOCRATA CRISTÃO,1
1998,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT do B,70,PARTIDO TRABALHISTA DO BRASIL,3
1998,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,10
1998,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,54
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PTN,19,PARTIDO TRABALHISTA NACIONAL,1
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PRONA,56,PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL,1
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,4
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,32
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,56
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PTN,19,PARTIDO TRABALHISTA NACIONAL,2
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PMN,33,PARTIDO DA MOBILIZAÇÃO NACIONAL,3
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PV,43,PARTIDO VERDE,3
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PRONA,56,PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL,5
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT do B,70,PARTIDO TRABALHISTA DO BRASIL,3
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,35
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,123
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,248
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PTN,19,PARTIDO TRABALHISTA NACIONAL,1
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSN,31,PARTIDO DA SOLIDARIEDADE NACIONAL,2
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PMN,33,PARTIDO DA MOBILIZAÇÃO NACIONAL,1
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PV,43,PARTIDO VERDE,1
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PRONA,56,PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL,4
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT do B,70,PARTIDO TRABALHISTA DO BRASIL,4
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,18
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,86
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,228
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,2
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDC,27,PARTIDO SOCIAL DEMOCRATA CRISTÃO,1
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PV,43,PARTIDO VERDE,1
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PRONA,56,PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL,4
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT do B,70,PARTIDO TRABALHISTA DO BRASIL,1
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PPS,23,PARTIDO POPULAR SOCIALISTA,24
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,81
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,187
1998,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSTU,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
