,election_year,election_round,place_(zz_=_exterior),municipality_code,municipality_name,office,party_number,party_initials,party_name,number_of_votes
0,2018,1,ZZ,11266,ESTADOS UNIDOS,Presidente,17,PSL,Partido Social Liberal,2609
1,2018,1,ZZ,98540,CHINA,Presidente,17,PSL,Partido Social Liberal,103
2,2018,1,ZZ,98086,EGITO,Presidente,17,PSL,Partido Social Liberal,21
3,2018,1,ZZ,11568,URUGUAI,Presidente,17,PSL,Partido Social Liberal,8
4,2018,1,ZZ,29378,SERVIA,Presidente,17,PSL,Partido Social Liberal,12
5,2018,1,ZZ,29116,MOCAMBIQUE,Presidente,17,PSL,Partido Social Liberal,162
6,2018,1,ZZ,98280,REPUBLICA DOMINICANA,Presidente,17,PSL,Partido Social Liberal,148
7,2018,1,ZZ,29009,PAISES BAIXOS,Presidente,17,PSL,Partido Social Liberal,726
8,2018,1,ZZ,29068,NAMIBIA,Presidente,17,PSL,Partido Social Liberal,8
9,2018,1,ZZ,98981,AUSTRALIA,Presidente,17,PSL,Partido Social Liberal,409
10,2018,1,ZZ,29033,IRLANDA,Presidente,17,PSL,Partido Social Liberal,366
11,2018,1,ZZ,11223,EQUADOR,Presidente,17,PSL,Partido Social Liberal,214
12,2018,1,ZZ,11800,BOLIVIA,Presidente,50,PSOL,Partido Socialismo e Liberdade,5
13,2018,1,ZZ,11266,ESTADOS UNIDOS,Presidente,50,PSOL,Partido Socialismo e Liberdade,13
14,2018,1,ZZ,98124,TUNISIA,Presidente,50,PSOL,Partido Socialismo e Liberdade,3
15,2018,1,ZZ,98485,DINAMARCA,Presidente,50,PSOL,Partido Socialismo e Liberdade,16
16,2018,1,ZZ,11266,ESTADOS UNIDOS,Presidente,50,PSOL,Partido Socialismo e Liberdade,17
17,2018,1,ZZ,98841,INGLATERRA,Presidente,17,PSL,Partido Social Liberal,4797
18,2018,1,ZZ,11142,ARGENTINA,Presidente,17,PSL,Partido Social Liberal,1120
19,2018,2,ZZ,11541,SURINAME,Presidente,13,PT,Partido dos Trabalhadores,122
20,2018,2,ZZ,29157,KUWAIT,Presidente,13,PT,Partido dos Trabalhadores,21
21,2018,2,ZZ,29190,JAMAICA,Presidente,13,PT,Partido dos Trabalhadores,3
22,2018,1,ZZ,98140,TRINIDAD TOBAGO,Presidente,17,PSL,Partido Social Liberal,23
23,2018,1,ZZ,11762,UCRANIA,Presidente,17,PSL,Partido Social Liberal,17
24,2018,1,ZZ,98540,CHINA,Presidente,19,PODE,Podemos,2
25,2018,1,ZZ,98485,DINAMARCA,Presidente,19,PODE,Podemos,5
26,2018,1,ZZ,11266,ESTADOS UNIDOS,Presidente,19,PODE,Podemos,56
27,2018,1,ZZ,98540,CHINA,Presidente,19,PODE,Podemos,7
28,2018,1,ZZ,11142,ARGENTINA,Presidente,50,PSOL,Partido Socialismo e Liberdade,2
29,2018,2,ZZ,98523,CINGAPURA,Presidente,13,PT,Partido dos Trabalhadores,59
30,2018,2,ZZ,11800,BOLIVIA,Presidente,13,PT,Partido dos Trabalhadores,23
31,2018,2,ZZ,98086,EGITO,Presidente,13,PT,Partido dos Trabalhadores,20
32,2018,2,ZZ,11363,ITALIA,Presidente,13,PT,Partido dos Trabalhadores,1517
33,2018,1,ZZ,11584,VENEZUELA,Presidente,19,PODE,Podemos,2
34,2018,1,ZZ,39322,CHIPRE,Presidente,19,PODE,Podemos,2
35,2018,2,ZZ,29116,MOCAMBIQUE,Presidente,13,PT,Partido dos Trabalhadores,106
36,2018,1,ZZ,11509,PORTUGAL,Presidente,19,PODE,Podemos,89
37,2018,1,ZZ,11401,LIBANO,Presidente,19,PODE,Podemos,24
38,2018,1,ZZ,11363,ITALIA,Presidente,19,PODE,Podemos,41
39,2018,1,ZZ,29009,PAISES BAIXOS,Presidente,50,PSOL,Partido Socialismo e Liberdade,19
40,2018,1,ZZ,98906,CANADA,Presidente,50,PSOL,Partido Socialismo e Liberdade,40
41,2018,1,ZZ,11487,POLONIA,Presidente,50,PSOL,Partido Socialismo e Liberdade,1
42,2018,1,ZZ,11266,ESTADOS UNIDOS,Presidente,50,PSOL,Partido Socialismo e Liberdade,28
43,2018,2,ZZ,29025,HONG KONG,Presidente,13,PT,Partido dos Trabalhadores,54
44,2018,2,ZZ,98906,CANADA,Presidente,13,PT,Partido dos Trabalhadores,637
45,2018,2,ZZ,30350,REPUBLICA CHECA,Presidente,13,PT,Partido dos Trabalhadores,71
46,2018,1,ZZ,11100,ALEMANHA,Presidente,19,PODE,Podemos,48
47,2018,1,ZZ,98345,NORUEGA,Presidente,19,PODE,Podemos,6
48,2018,1,ZZ,98329,PANAMA,Presidente,19,PODE,Podemos,4
49,2018,2,ZZ,98108,TURQUIA,Presidente,13,PT,Partido dos Trabalhadores,35
50,2018,2,ZZ,99180,COMUNIDADE DAS BAHAMAS,Presidente,13,PT,Partido dos Trabalhadores,4
51,2018,2,ZZ,11223,EQUADOR,Presidente,13,PT,Partido dos Trabalhadores,95
52,2018,1,ZZ,98280,REPUBLICA DOMINICANA,Presidente,19,PODE,Podemos,2
53,2018,1,ZZ,30350,REPUBLICA CHECA,Presidente,19,PODE,Podemos,3
54,2018,1,ZZ,11444,PARAGUAI,Presidente,19,PODE,Podemos,44
55,2018,1,ZZ,11142,ARGENTINA,Presidente,50,PSOL,Partido Socialismo e Liberdade,2
56,2018,1,ZZ,98426,FINLANDIA,Presidente,50,PSOL,Partido Socialismo e Liberdade,6
57,2018,2,ZZ,11142,ARGENTINA,Presidente,13,PT,Partido dos Trabalhadores,152
58,2018,1,ZZ,11266,ESTADOS UNIDOS,Presidente,19,PODE,Podemos,12
59,2018,1,ZZ,98426,FINLANDIA,Presidente,19,PODE,Podemos,4
60,2018,1,ZZ,98604,CABO VERDE,Presidente,50,PSOL,Partido Socialismo e Liberdade,2
61,2018,1,ZZ,11282,FRANCA,Presidente,50,PSOL,Partido Socialismo e Liberdade,82
62,2018,2,ZZ,98426,FINLANDIA,Presidente,13,PT,Partido dos Trabalhadores,180
63,2018,2,ZZ,11428,MEXICO,Presidente,13,PT,Partido dos Trabalhadores,305
64,2018,2,ZZ,11266,ESTADOS UNIDOS,Presidente,13,PT,Partido dos Trabalhadores,1191
65,2018,1,ZZ,11444,PARAGUAI,Presidente,19,PODE,Podemos,5
66,2018,1,ZZ,11100,ALEMANHA,Presidente,16,PSTU,Partido Socialista dos Trabalhadores Unificado,7
67,2018,1,ZZ,11266,ESTADOS UNIDOS,Presidente,16,PSTU,Partido Socialista dos Trabalhadores Unificado,1
