,election_year,election_round,municipality_code,municipality_name,office,party_name,number_of_votes
0,1998,1,98787,Africa Do Sul,Presidente,Partido Social Democrata Cristao,1
1,1998,1,98787,Africa Do Sul,Presidente,Partido Trabalhista Do Brasil,3
2,1998,1,98787,Africa Do Sul,Presidente,Partido Dos Trabalhadores,10
3,1998,1,98787,Africa Do Sul,Presidente,Partido Da Social Democracia Brasileira,54
4,1998,1,11100,Alemanha,Presidente,Partido Trabalhista Nacional,1
5,1998,1,11100,Alemanha,Presidente,Partido Da Reedificacao Da Ordem Nacional,1
6,1998,1,11100,Alemanha,Presidente,Partido Popular Socialista,4
7,1998,1,11100,Alemanha,Presidente,Partido Dos Trabalhadores,32
8,1998,1,11100,Alemanha,Presidente,Partido Da Social Democracia Brasileira,56
9,1998,1,11100,Alemanha,Presidente,Partido Socialista Dos Trabalhadores Unificado,1
10,1998,1,11100,Alemanha,Presidente,Partido Trabalhista Nacional,2
11,1998,1,11100,Alemanha,Presidente,Partido Da Mobilizacao Nacional,3
12,1998,1,11100,Alemanha,Presidente,Partido Verde,3
13,1998,1,11100,Alemanha,Presidente,Partido Da Reedificacao Da Ordem Nacional,5
14,1998,1,11100,Alemanha,Presidente,Partido Trabalhista Do Brasil,3
15,1998,1,11100,Alemanha,Presidente,Partido Popular Socialista,35
16,1998,1,11100,Alemanha,Presidente,Partido Dos Trabalhadores,123
17,1998,1,11100,Alemanha,Presidente,Partido Da Social Democracia Brasileira,248
18,1998,1,11100,Alemanha,Presidente,Partido Trabalhista Nacional,1
19,1998,1,11100,Alemanha,Presidente,Partido Da Solidariedade Nacional,2
20,1998,1,11100,Alemanha,Presidente,Partido Da Mobilizacao Nacional,1
21,1998,1,11100,Alemanha,Presidente,Partido Verde,1
22,1998,1,11100,Alemanha,Presidente,Partido Da Reedificacao Da Ordem Nacional,4
23,1998,1,11100,Alemanha,Presidente,Partido Trabalhista Do Brasil,4
24,1998,1,11100,Alemanha,Presidente,Partido Popular Socialista,18
25,1998,1,11100,Alemanha,Presidente,Partido Dos Trabalhadores,86
26,1998,1,11100,Alemanha,Presidente,Partido Da Social Democracia Brasileira,228
27,1998,1,11100,Alemanha,Presidente,Partido Socialista Dos Trabalhadores Unificado,2
28,1998,1,11100,Alemanha,Presidente,Partido Social Democrata Cristao,1
29,1998,1,11100,Alemanha,Presidente,Partido Verde,1
30,1998,1,11100,Alemanha,Presidente,Partido Da Reedificacao Da Ordem Nacional,4
31,1998,1,11100,Alemanha,Presidente,Partido Trabalhista Do Brasil,1
32,1998,1,11100,Alemanha,Presidente,Partido Popular Socialista,24
33,1998,1,11100,Alemanha,Presidente,Partido Dos Trabalhadores,81
34,1998,1,11100,Alemanha,Presidente,Partido Da Social Democracia Brasileira,187
35,1998,1,11100,Alemanha,Presidente,Partido Socialista Dos Trabalhadores Unificado,1
36,1998,1,11100,Alemanha,Presidente,Partido Trabalhista Nacional,4
37,1998,1,11100,Alemanha,Presidente,Partido Da Solidariedade Nacional,1
38,1998,1,11100,Alemanha,Presidente,Partido Da Mobilizacao Nacional,1
39,1998,1,11100,Alemanha,Presidente,Partido Verde,3
40,1998,1,11100,Alemanha,Presidente,Partido Da Reedificacao Da Ordem Nacional,2
41,1998,1,11100,Alemanha,Presidente,Partido Popular Socialista,9
42,1998,1,11100,Alemanha,Presidente,Partido Dos Trabalhadores,95
