Election Year,Place (ZZ = Exterior),Municipality Name,Municipality Code,Gender Code,Gender Description,Age Group Description,Educational Attainment Description,Quantity of Voters
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,18 A 20 ANOS,ENSINO MÉDIO INCOMPLETO,2
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,21 A 24 ANOS,ENSINO MÉDIO COMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,25 A 34 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,25 A 34 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,5
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,25 A 34 ANOS,ENSINO MÉDIO COMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,25 A 34 ANOS,ENSINO MÉDIO INCOMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,25 A 34 ANOS,SUPERIOR COMPLETO,2
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,25 A 34 ANOS,SUPERIOR INCOMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,35 A 44 ANOS,ENSINO FUNDAMENTAL COMPLETO,2
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,35 A 44 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,2
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,35 A 44 ANOS,ENSINO MÉDIO COMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,35 A 44 ANOS,ENSINO MÉDIO INCOMPLETO,5
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,35 A 44 ANOS,SUPERIOR COMPLETO,2
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,35 A 44 ANOS,SUPERIOR INCOMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,45 A 59 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,45 A 59 ANOS,ENSINO MÉDIO COMPLETO,10
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,45 A 59 ANOS,SUPERIOR COMPLETO,7
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,60 A 69 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,60 A 69 ANOS,ENSINO MÉDIO COMPLETO,3
2010,ZZ,ABIDJAN-COTE,29254,1,FEMININO,60 A 69 ANOS,SUPERIOR COMPLETO,4
2010,ZZ,ABIDJAN-COTE,29254,1,MASCULINO,21 A 24 ANOS,ENSINO MÉDIO COMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,MASCULINO,21 A 24 ANOS,ENSINO MÉDIO INCOMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,MASCULINO,21 A 24 ANOS,SUPERIOR INCOMPLETO,1
2010,ZZ,ABIDJAN-COTE,29254,1,MASCULINO,25 A 34 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
